"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"788","@SheppardAvanti We're here enjoying Unlimited data on the best network. Send a DM to join in! *AAS https://t.co/3nXAbX8xm1",FALSE,0,"SheppardAvanti",2017-06-25 19:15:57,FALSE,"878505310566178817","879055580979187712","3102643010","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"789","@Limommie Why wait? Go ahead and make the switch. DM us for our latest promotions! *AAS https://t.co/UHypizeS5w",FALSE,0,"Limommie",2017-06-25 19:15:27,FALSE,"878500349379842048","879055455259152384","307607426","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"790","@StarkSuicide We want every customer to have a superior Verizon experience.  Is there anything we may assist with? ^BAB",FALSE,0,"StarkSuicide",2017-06-25 19:15:27,FALSE,"879054748334211072","879055454927810560","792548682436452352","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",7,FALSE,FALSE,NA,NA
"791","@natemadeyou How about switching to a network you can count on? Send a DM to get the process started. *AAS https://t.co/bQLXTx98QQ",FALSE,0,"natemadeyou",2017-06-25 19:15:00,FALSE,"878496698066235393","879055344256864256","3189839928","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"792","@tkeodara Let us help you make the switch to a better experience. DM to discuss options. *AAS https://t.co/OxIM1bRKtP",FALSE,0,"tkeodara",2017-06-25 19:14:29,FALSE,"878493486848200704","879055212668956672","217913911","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"793","@PrincessAmerah_ We have competitive pricing options and excellent customer service. DM us for details. *AAS https://t.co/ZZVgEX7h3J",FALSE,0,"PrincessAmerah_",2017-06-25 19:05:26,FALSE,"878491689962360832","879052934943780864","864131660","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"794","@RandyWhite64 We will be glad to assist. Do your concerns pertain to Verizon wireless or home services? ^BAB",FALSE,1,"RandyWhite64",2017-06-25 19:00:00,FALSE,"879050940212535296","879051567961448448","385210474","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",6,FALSE,FALSE,NA,NA
"795","@BoSox2492 If you decide you're interested in making the switch to a better wireless experience, send us a DM! *AAS https://t.co/0UQ5F901v9",FALSE,0,"BoSox2492",2017-06-25 18:43:28,FALSE,"878489361062473729","879047406070923264","41947990","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"796","@_AishaZakia_ We'd love the opportunity to win you as a customer. Send us a DM to get started. *AAS https://t.co/Lxn3S6fxFp",FALSE,0,"_AishaZakia_",2017-06-25 18:43:01,FALSE,"878488727567429633","879047292401090560","16508747","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"797","@GLVMM_ Want a network that gets you where you're trying to go? Send us a DM for info on switcher offers! *AAS https://t.co/y0VrNQ8jGO",FALSE,0,"GLVMM_",2017-06-25 18:42:29,FALSE,"878485267870605312","879047161366892544","877941956982210560","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"798","@Douglas46572430  Your phone is only as good as the network it's on. Send us a DM to learn about our latest promoti… https://t.co/AgksrPXWBq",FALSE,0,"Douglas46572430",2017-06-25 18:41:25,TRUE,"878481950868029440","879046890029010945","862214137530560512","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"799","@Johndoe13417053 RootMetrics &amp; JD Power agree, we have the network you can count on. DM to ask about our switcher o… https://t.co/1cxecvvWUZ",FALSE,0,"Johndoe13417053",2017-06-25 18:40:27,TRUE,"878475460509708290","879046648030167041","866216199331262468","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
